time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-30T00:00:00Z,0,0,0,0
2026-09-01T00:00:00Z,0,0,12,3
2026-09-02T00:00:00Z,0,0,3,3
2026-09-03T00:00:00Z,2,2,0,0
2026-09-04T00:00:00Z,1,1,0,0
2026-09-05T00:00:00Z,0,0,0,0
2026-09-06T00:00:00Z,0,0,0,0
2026-09-07T00:00:00Z,0,0,0,0
2026-09-08T00:00:00Z,0,0,0,0
2026-09-09T00:00:00Z,0,0,1,1
2026-09-10T00:00:00Z,2,2,7,3
2026-09-11T00:00:00Z,3,3,7,3
2026-09-12T00:00:00Z,3,3,6,2
